Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Meats and poultry,Beef and veal,1982/01/01,24383,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/02/01,24604,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/03/01,24451,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/04/01,24684,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/05/01,24785,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/06/01,24743,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/07/01,24959,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/08/01,24658,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/09/01,24693,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/10/01,24890,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/11/01,24507,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1982/12/01,24826,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/01/01,24217,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/02/01,24462,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/03/01,24542,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/04/01,24600,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/05/01,24482,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/06/01,24580,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/07/01,24628,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/08/01,24418,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/09/01,24364,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/10/01,24239,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/11/01,24247,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1983/12/01,24086,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/01/01,24297,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/02/01,24371,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/03/01,24568,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/04/01,24622,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/05/01,24551,2023/08/31 04:02:51
